Filename,a_Good,b_Moderate,c_Unhealthy_for_Sensitive_Groups,d_Unhealthy,e_Very_Unhealthy,f_Severe
BRI_Un_2023-02-02- 12.00-9.jpg,0.9959715,0.006269429,-0.008131184,0.002579257,-0.0018088445,0.00076776743
BIR_UNH_VF_2023-02-02- 12.00-3-72.jpg,-0.0010783002,-0.00017612055,-0.0025286078,0.99936014,0.0055449232,-0.0027412549
BIR_UNH_VF_2023-02-02- 12.00-3-71.jpg,-0.0013210252,-0.00025202706,-0.0018298477,0.9995114,0.006091319,-0.00300546
BIR_UNH_VF_2023-02-02- 12.00-3-65.jpg,0.002124451,0.99739975,-0.0025707185,0.008729458,0.004548855,-0.0023399591
BIR_UNH_VF_2023-02-02- 12.00-3-56.jpg,-0.0035485998,1.0004735,-0.0015407801,0.008381829,0.0013773218,-0.010576762
BIR_UNH_VF_2023-02-02- 12.00-3-5.jpg,-0.00043111295,0.0009214841,0.9864209,0.0041574985,0.008397512,0.0005187318
BIR_UNH_VF_2023-02-02- 12.00-3-46.jpg,-0.0104307085,1.0041891,-0.0005939901,0.01638639,0.014840074,-0.0010174215
BIR_UNH_VF_2023-02-02- 12.00-3-44.jpg,-0.00083941966,-0.00016984716,-0.003041491,0.9992011,0.0051685125,-0.0026201159
BIR_UNH_VF_2023-02-02- 12.00-3-41.jpg,-0.0019249246,0.00018757954,-0.0016968399,0.9999847,0.0059688464,-0.0023874491
BIR_UNH_VF_2023-02-02- 12.00-3-39.jpg,-0.0040552244,-8.780509e-06,-0.002976805,0.0024766177,1.0016531,-0.0015019551
BIR_UNH_VF_2023-02-02- 12.00-3-38.jpg,-0.0022039935,-0.0002139695,0.9885243,0.003245011,0.008528389,0.0017714277
BIR_UNH_VF_2023-02-02- 12.00-3-36.jpg,-0.002217628,-0.0016227476,0.00038392842,0.99851656,0.0029154196,-0.0048790947
BIR_UNH_VF_2023-02-02- 12.00-3-30.jpg,-0.0016877428,-0.002050832,0.98915684,0.0046140403,0.009715833,-0.001301609
BIR_UNH_VF_2023-02-02- 12.00-3-25.jpg,0.00051065534,0.003517095,-0.0016200915,0.9962129,0.011359341,-0.00084692985
BIR_UNH_VF_2023-02-02- 12.00-3-21.jpg,0.0024442002,-3.1340867e-05,0.00051027536,0.0041440874,0.002365552,0.9998943
BIR_UNH_VF_2023-02-02- 12.00-3-2.jpg,0.9999787,0.0028586574,-0.0038005412,0.0073170513,0.0034826174,0.000113122165
BIR_UNH_VF_2023-02-02- 12.00-2-84.jpg,0.00011809915,0.0013162121,0.9858315,0.0045507103,0.008052535,-0.0003405735
BIR_UNH_VF_2023-02-02- 12.00-2-8.jpg,0.99654466,0.004993785,-0.0050414354,0.0012658983,0.0049056783,-0.0028813258
BIR_UNH_VF_2023-02-02- 12.00-2-74.jpg,-0.005433731,0.00029370934,-0.003195852,0.0058725923,0.009298675,0.98342985
BIR_UNH_VF_2023-02-02- 12.00-2-71.jpg,1.0047717,0.0012730546,-0.0030215383,0.006909296,-0.0010078177,-0.00086725503
BIR_UNH_VF_2023-02-02- 12.00-2-7.jpg,-0.0032291636,0.0012078397,-0.0015775859,0.004192084,1.0021334,-0.0015654117
BIR_UNH_VF_2023-02-02- 12.00-2-68.jpg,0.99670666,-0.0024204664,-0.009079754,-0.0015303046,0.0010295287,-0.005258091
BIR_UNH_VF_2023-02-02- 12.00-2-67.jpg,-0.0032432154,0.0020641722,-0.0037498176,1.0011606,0.0035384744,0.0008229986
BIR_UNH_VF_2023-02-02- 12.00-2-55.jpg,-0.004933931,-0.003873121,0.0011476502,1.0027301,0.009144388,-0.0060876533
BIR_UNH_VF_2023-02-02- 12.00-2-54.jpg,-0.00654988,0.0007676594,-0.002752602,0.01706557,0.004305288,0.9812524
BIR_UNH_VF_2023-02-02- 12.00-2-52.jpg,0.0009018108,-0.0027843975,-0.0033221245,1.0002344,0.0037537664,-0.004050173
BIR_UNH_VF_2023-02-02- 12.00-2-50.jpg,-0.0049341097,-0.00345793,0.00014681369,1.0013129,0.009992801,-0.0036289617
BIR_UNH_VF_2023-02-02- 12.00-2-46.jpg,0.9962215,0.0039269812,-0.005096793,0.0035378486,0.006356247,-0.0032668188
BIR_UNH_VF_2023-02-02- 12.00-2-42.jpg,-0.00374718,0.0007171817,0.001840964,0.0012445301,1.0024968,0.0015936419
BIR_UNH_VF_2023-02-02- 12.00-2-3.jpg,-0.00069092214,0.0007502325,0.9867221,0.0040112287,0.008450992,0.00075560063
BIR_UNH_VF_2023-02-02- 12.00-2-29.jpg,0.077421196,0.045112908,0.18403454,0.24893299,0.12464319,0.33528087
BIR_UNH_VF_2023-02-02- 12.00-2-26.jpg,-0.0010326281,-0.0020931922,-0.0028601289,1.0038267,0.0014741495,-0.0013066307
BIR_UNH_VF_2023-02-02- 12.00-2-22.jpg,-0.0052253157,0.0017630644,-0.0008275062,0.0011620373,1.0002035,0.0012878329
BIR_UNH_VF_2023-02-02- 12.00-2-17.jpg,-0.0041061155,8.089095e-05,-0.0028931722,0.0024285614,1.001587,-0.0014106631
BIR_UNH_VF_2023-02-02- 12.00-2-13.jpg,-0.003914345,-0.00028945506,-0.00373286,0.0028533489,1.0019679,-0.0018101335
BIR_UNH_VF_2023-02-02- 12.00-2-11.jpg,-0.005262755,0.0018640719,-0.0012865812,0.0013395995,1.000097,0.0007681325
BIR_UNH_VF_2023-02-02- 12.00-2-1.jpg,-0.00088299066,0.9994146,-0.0032079965,0.006381035,0.0016769245,-0.005428709
BIR_UNH_VF_2023-02-02- 12.00-1-94.jpg,-0.001088284,0.0004970096,0.9871954,0.0038099736,0.008471318,0.0010222718
BIR_UNH_VF_2023-02-02- 12.00-1-85.jpg,-0.0030995384,-0.0017752312,0.003642574,1.000684,0.00802172,-0.009677
BIR_UNH_VF_2023-02-02- 12.00-1-79.jpg,-0.004309334,0.00043906644,-0.0025591776,0.0022364706,1.0013233,-0.0010465011
BIR_UNH_VF_2023-02-02- 12.00-1-78.jpg,-0.00036794692,0.9987289,-0.00761874,0.0073875487,0.00061733276,-0.007860757
BIR_UNH_VF_2023-02-02- 12.00-1-74.jpg,0.99543875,0.0050102063,-0.00582923,0.0013591498,0.0059825853,-0.0027290508
BIR_UNH_VF_2023-02-02- 12.00-1-7.jpg,-0.0025998726,0.0008060597,-0.0040996075,1.0000166,0.0042258427,-0.006629385
BIR_UNH_VF_2023-02-02- 12.00-1-68.jpg,-0.005071275,-0.001606714,0.9905763,0.0037641674,0.00913357,5.6669116e-05
BIR_UNH_VF_2023-02-02- 12.00-1-67.jpg,0.99575657,0.0052073784,-0.006830603,-0.0014513284,0.0041765645,-0.0034243837
BIR_UNH_VF_2023-02-02- 12.00-1-64.jpg,5.8718026e-05,0.0012735389,0.9858953,0.004508242,0.008089833,-0.0002476573
BIR_UNH_VF_2023-02-02- 12.00-1-56.jpg,-0.004940726,0.0015516616,-0.0015215278,0.0016394705,1.0005043,8.5033476e-05
BIR_UNH_VF_2023-02-02- 12.00-1-52.jpg,0.00445126,-0.0010253452,-0.008243613,0.0041151494,1.0046221,-0.0053001717
BIR_UNH_VF_2023-02-02- 12.00-1-34.jpg,-0.0019634739,1.0048816,-0.001085341,0.0050510466,0.0013220683,-0.005612366
BIR_UNH_VF_2023-02-02- 12.00-1-28.jpg,-0.0016928166,0.001004409,-0.00037236512,0.99792004,0.008618563,-0.0052754954
